Area Code,Country,Nation,International Territorial Level 1,International Territorial Level 2,International Territorial Level 3
TLK4,,,,Devon,
TLK41,,,,,Plymouth
TLK42,,,,,Torbay
TLK43,,,,,Devon CC
W92000004,,Wales,,,
TLL,,,Wales,,
TLL1,,,,West Wales and The Valleys,
TLL11,,,,,Isle of Anglesey
TLL12,,,,,Gwynedd
TLL13,,,,,Conwy and Denbighshire
TLL14,,,,,South West Wales
TLL15,,,,,Central Valleys
TLL16,,,,,Gwent Valleys
TLL17,,,,,Bridgend and Neath Port Talbot
TLL18,,,,,Swansea
TLL2,,,,East Wales,
TLL21,,,,,Monmouthshire and Newport
TLL22,,,,,Cardiff and Vale of Glamorgan
TLL23,,,,,Flintshire and Wrexham
TLL24,,,,,Powys
S92000003,,Scotland,,,
TLM,,,Scotland,,
TLM5,,,,North Eastern Scotland,
TLM50,,,,,Aberdeen City and Aberdeenshire
TLM6,,,,Highlands and Islands,
TLM61,,,,,"Caithness and Sutherland, and Ross and Cromarty"
TLM62,,,,,"Inverness and Nairn, Moray, and Badenoch and Strathspey"
TLM63,,,,,"Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute"
TLM64,,,,,Na h-Eileanan Siar
TLM65,,,,,Orkney Islands
TLM66,,,,,Shetland Islands
TLM7,,,,Eastern Scotland,
TLM71,,,,,Angus and Dundee City
TLM72,,,,,Clackmannanshire and Fife
TLM73,,,,,East Lothian and Midlothian
TLM75,,,,,City of Edinburgh
TLM76,,,,,Falkirk
TLM77,,,,,"Perth and Kinross, and Stirling"
TLM78,,,,,West Lothian
TLM8,,,,West Central Scotland,
TLM81,,,,,"East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond"
TLM82,,,,,Glasgow City
TLM83,,,,,"Inverclyde, East Renfrewshire, and Renfrewshire"
TLM84,,,,,North Lanarkshire
TLM9,,,,Southern Scotland,
TLM91,,,,,Scottish Borders
TLM92,,,,,Dumfries and Galloway
TLM93,,,,,East Ayrshire and North Ayrshire mainland
TLM94,,,,,South Ayrshire
TLM95,,,,,South Lanarkshire
N92000002,,Northern Ireland,,,
TLN,,,Northern Ireland,,
TLN0,,,,Northern Ireland,
TLN06,,,,,Belfast
TLN07,,,,,"Armagh City, Banbridge and Craigavon"
TLN08,,,,,"Newry, Mourne and Down"
TLN09,,,,,Ards and North Down
TLN0A,,,,,Derry City and Strabane
TLN0B,,,,,Mid Ulster
TLN0C,,,,,Causeway Coast and Glens
TLN0D,,,,,Antrim and Newtownabbey
TLN0E,,,,,Lisburn and Castlereagh
TLN0F,,,,,Mid and East Antrim
TLN0G,,,,,Fermanagh and Omagh
